#EEP	M/Mo	LogTeff	LogG	LogL/Lo	sdss_u	sdss_g	sdss_r	sdss_i	sdss_z
102	0.784011	3.8106	4.3806	0.1476	5.4567	4.6407	4.3893	4.3360	4.3577
103	0.787260	3.8119	4.3689	0.1662	5.4078	4.5907	4.3434	4.2922	4.3154
104	0.790436	3.8132	4.3571	0.1849	5.3592	4.5410	4.2977	4.2485	4.2733
105	0.793543	3.8144	4.3450	0.2034	5.3116	4.4917	4.2524	4.2050	4.2313
106	0.796582	3.8156	4.3330	0.2217	5.2645	4.4429	4.2073	4.1620	4.1895
107	0.799554	3.8166	4.3207	0.2399	5.2180	4.3945	4.1626	4.1190	4.1480
108	0.802466	3.8177	4.3083	0.2580	5.1722	4.3465	4.1182	4.0764	4.1066
109	0.805324	3.8186	4.2958	0.2758	5.1270	4.2992	4.0740	4.0337	4.0651
110	0.808130	3.8195	4.2831	0.2936	5.0825	4.2524	4.0302	3.9915	4.0240
111	0.810886	3.8203	4.2703	0.3111	5.0385	4.2061	3.9867	3.9494	3.9829
112	0.811744	3.8206	4.2662	0.3168	5.0243	4.1910	3.9726	3.9359	3.9698
113	0.812600	3.8209	4.2623	0.3226	5.0098	4.1757	3.9584	3.9222	3.9565
114	0.813458	3.8212	4.2583	0.3283	4.9953	4.1604	3.9441	3.9085	3.9432
115	0.814314	3.8216	4.2542	0.3342	4.9807	4.1449	3.9297	3.8947	3.9298
116	0.815172	3.8219	4.2501	0.3401	4.9660	4.1293	3.9151	3.8806	3.9161
117	0.816028	3.8222	4.2459	0.3460	4.9513	4.1137	3.9005	3.8665	3.9023
118	0.816884	3.8225	4.2415	0.3520	4.9363	4.0978	3.8856	3.8521	3.8884
119	0.817737	3.8227	4.2370	0.3581	4.9213	4.0819	3.8706	3.8375	3.8741
120	0.818588	3.8230	4.2322	0.3642	4.9062	4.0659	3.8553	3.8227	3.8596
121	0.819435	3.8232	4.2273	0.3704	4.8910	4.0496	3.8398	3.8076	3.8447
122	0.820280	3.8234	4.2222	0.3767	4.8756	4.0333	3.8241	3.7923	3.8296
123	0.821121	3.8235	4.2170	0.3830	4.8602	4.0169	3.8084	3.7767	3.8143
124	0.821959	3.8236	4.2115	0.3894	4.8446	4.0003	3.7923	3.7610	3.7988
125	0.822796	3.8238	4.2061	0.3959	4.8289	3.9836	3.7761	3.7451	3.7831
126	0.823628	3.8239	4.2004	0.4025	4.8131	3.9667	3.7598	3.7289	3.7671
127	0.824457	3.8240	4.1947	0.4090	4.7971	3.9497	3.7432	3.7126	3.7510
128	0.825283	3.8241	4.1887	0.4157	4.7811	3.9326	3.7266	3.6962	3.7346
129	0.826106	3.8242	4.1827	0.4224	4.7649	3.9155	3.7097	3.6795	3.7180
130	0.826924	3.8242	4.1765	0.4292	4.7487	3.8982	3.6928	3.6627	3.7012
131	0.827738	3.8242	4.1702	0.4360	4.7323	3.8808	3.6755	3.6457	3.6842
132	0.828546	3.8242	4.1637	0.4429	4.7158	3.8632	3.6582	3.6284	3.6670
133	0.829349	3.8242	4.1569	0.4499	4.6993	3.8456	3.6407	3.6108	3.6494
134	0.830146	3.8241	4.1500	0.4569	4.6827	3.8279	3.6229	3.5930	3.6315
135	0.830935	3.8240	4.1428	0.4639	4.6660	3.8102	3.6050	3.5750	3.6134
136	0.831719	3.8238	4.1354	0.4711	4.6492	3.7922	3.5869	3.5568	3.5950
137	0.832494	3.8236	4.1279	0.4783	4.6323	3.7743	3.5687	3.5382	3.5762
138	0.833263	3.8234	4.1200	0.4856	4.6153	3.7562	3.5502	3.5196	3.5573
139	0.834022	3.8231	4.1120	0.4929	4.5983	3.7382	3.5316	3.5006	3.5380
140	0.834774	3.8228	4.1036	0.5003	4.5813	3.7200	3.5128	3.4814	3.5185
141	0.835516	3.8224	4.0951	0.5078	4.5642	3.7018	3.4939	3.4619	3.4986
142	0.836248	3.8220	4.0863	0.5153	4.5470	3.6836	3.4747	3.4423	3.4784
143	0.836970	3.8215	4.0770	0.5229	4.5298	3.6653	3.4553	3.4222	3.4579
144	0.837681	3.8210	4.0676	0.5305	4.5126	3.6470	3.4357	3.4020	3.4370
145	0.838380	3.8204	4.0579	0.5382	4.4953	3.6288	3.4160	3.3815	3.4157
146	0.839066	3.8197	4.0477	0.5460	4.4782	3.6106	3.3960	3.3606	3.3940
147	0.839740	3.8189	4.0372	0.5538	4.4609	3.5923	3.3759	3.3394	3.3720
148	0.840402	3.8181	4.0264	0.5617	4.4438	3.5743	3.3555	3.3177	3.3494
149	0.841048	3.8172	4.0151	0.5696	4.4266	3.5563	3.3350	3.2958	3.3263
150	0.841682	3.8161	4.0035	0.5775	4.4093	3.5385	3.3140	3.2731	3.3025
151	0.842299	3.8150	3.9913	0.5855	4.3920	3.5211	3.2927	3.2501	3.2780
152	0.842900	3.8137	3.9785	0.5935	4.3749	3.5038	3.2713	3.2266	3.2531
153	0.843486	3.8123	3.9653	0.6016	4.3583	3.4868	3.2498	3.2030	3.2278
154	0.844056	3.8109	3.9514	0.6097	4.3421	3.4699	3.2283	3.1791	3.2021
155	0.844609	3.8092	3.9372	0.6177	4.3269	3.4533	3.2071	3.1554	3.1766
156	0.845146	3.8074	3.9223	0.6258	4.3126	3.4370	3.1860	3.1316	3.1506
157	0.845666	3.8055	3.9065	0.6339	4.2990	3.4212	3.1650	3.1077	3.1244
158	0.846169	3.8034	3.8900	0.6419	4.2863	3.4060	3.1440	3.0835	3.0978
159	0.846656	3.8010	3.8729	0.6500	4.2740	3.3915	3.1229	3.0591	3.0705
160	0.847129	3.7984	3.8550	0.6580	4.2629	3.3775	3.1020	3.0344	3.0429
161	0.847586	3.7956	3.8363	0.6659	4.2533	3.3644	3.0812	3.0095	3.0148
162	0.847954	3.7931	3.8198	0.6724	4.2476	3.3544	3.0639	2.9884	2.9907
163	0.848322	3.7904	3.8026	0.6789	4.2436	3.3450	3.0465	2.9669	2.9661
164	0.848686	3.7875	3.7847	0.6854	4.2404	3.3362	3.0292	2.9453	2.9412
165	0.849049	3.7844	3.7660	0.6918	4.2384	3.3285	3.0121	2.9235	2.9157
