lambda(m)	intenzitet(W/m^3)
0.0000002905	24379925151049.8
0.0000002915	22689233961869.3
0.0000002925	19728755004404.9
0.0000002935	22548100173853.4
0.0000002945	20282049412289.8
0.0000002955	22712964421801.1
0.0000002965	20061397767309.4
0.0000002975	21466490789590.7
0.0000002985	15801988371469.4
0.0000002995	21978985459347.2
0.0000003005	14640444806383.5
0.0000003015	19853235838082.5
0.0000003025	19570968262050.9
0.0000003035	25499003682573.4
0.0000003045	24083918887689.2
0.0000003055	25102663369325.5
0.0000003065	23083492655824.9
0.0000003075	26451552670715.5
0.0000003085	26658049304508.6
0.0000003095	20256653656924.2
0.00000031025	22957762850571.9
0.00000031048	24965692819894.2
0.00000031071	26833737972776
0.00000031095	28029003770396.7
0.00000031118	28663065006821.7
0.00000031142	28847080152258.2
0.00000031165	28465311174056.2
0.00000031189	27745070898931.2
0.00000031212	27041483578144.4
0.00000031236	26604343526768
0.0000003126	26573951885100.9
0.00000031284	26867043881452.3
0.00000031308	27269629052577.1
0.00000031332	27583537241851.2
0.00000031356	27656393917080.6
0.0000003138	27668050985117.3
0.00000031404	27652230678496
0.00000031428	27409513869017.5
0.00000031453	26979867647093.3
0.00000031477	26619747509530.8
0.00000031502	26160542293656.4
0.00000031526	25668031169105.6
0.00000031551	25085177767270.4
0.00000031575	24581425898541.4
0.000000316	24594331938153.5
0.00000031625	25240466566473.6
0.0000003165	26334981990348.5
0.00000031675	27429497414223.3
0.000000317	28521514894947.4
0.00000031725	29276726374182.5
0.0000003175	29578144847702.9
0.00000031775	29259240772127.4
0.00000031801	28438666447115.1
0.00000031826	27667634661258.8
0.00000031851	27213425331685.8
0.00000031877	27225082399722.5
0.00000031902	27497774527009.7
0.00000031928	27998612128729.5
0.00000031954	29010695428630.5
0.0000003198	30038182711294.3
0.00000032006	30559836505936.8
0.00000032032	30750096509250.2
0.00000032058	30685149987331.4
0.00000032084	30457420836757.2
0.0000003211	29773817061176.2
0.00000032136	29097707115047.4
0.00000032162	28601449075770.5
0.00000032189	28236333051906.6
0.00000032215	27859559960006
0.00000032242	27421587260912.7
0.00000032269	27111009662506.2
0.00000032295	27003598107025.1
0.00000032322	27053556970039.6
0.00000032349	27491529669132.9
0.00000032376	28022342588661.4
0.00000032403	28925765361506
0.0000003243	29982395314261.5
0.00000032457	31135196078319.9
0.00000032485	32437040783704.6
0.00000032512	33613155683836.4
0.00000032539	35004926342647.2
0.00000032567	36592369214931.2
0.00000032594	37788051336410.3
0.00000032622	38619450081742.4
0.0000003265	39179405671362.6
0.00000032678	39410881736662.9
0.00000032706	39286400902985.2
0.00000032734	38887146322728.1
0.00000032762	38465826577972.9
0.0000003279	38197714013128.8
0.00000032818	38158995894292.6
0.00000032847	38566576951718.7
0.00000032875	39224368648075.6
0.00000032904	40225627527656.8
0.00000032932	41229384350388.7
0.00000032961	41932139023458.6
0.0000003299	42244381917298.9
0.00000033019	42094505328255.6
0.00000033048	41567439323453.2
0.00000033077	40827631826980.9
0.00000033106	40139032165098.5
0.00000033135	39680659596940.9
0.00000033164	39314710925360.1
0.00000033194	39108630615425.5
0.00000033223	38899219714623.3
0.00000033253	38591556383226
0.00000033283	38263076858906
0.00000033312	38181893706507.5
0.00000033342	38149004121689.7
0.00000033372	38020360049427.5
0.00000033402	38319696903655.7
0.00000033432	38904631924783.2
0.00000033463	38907962515650.8
0.00000033493	38619033757883.9
0.00000033523	38336766181852.3
0.00000033554	37731014967802.1
0.00000033585	36495782079769.9
0.00000033615	35341732344136.2
0.00000033646	34765956447894.7
0.00000033677	34453297230196
0.00000033708	34286767686814.5
0.00000033739	34751385112848.9
0.00000033771	35707681015717.1
0.00000033802	36437913063444.9
0.00000033833	37046162220645.8
0.00000033865	38148587797831.2
0.00000033896	39042435121931.4
0.00000033928	39631117057784.9
0.0000003396	40130289364070.9
0.00000033992	40617804602320.2
0.00000034024	40621967840904.8
0.00000034056	40486246263048.9
0.00000034088	40173170721491.7
0.00000034121	39915466253108.8
0.00000034153	39868421657103.5
0.00000034186	39965841439981.7
0.00000034218	40296402583594
0.00000034251	40296402583594
0.00000034284	39901727565779.8
0.00000034317	39178989347504.2
0.0000003435	38384643425574.5
0.00000034383	37321352291083.7
0.00000034417	36398362296891.8
0.0000003445	35948316205903.3
0.00000034484	36179792271203.6
0.00000034517	36688540026234
0.00000034551	37414608835377.3
0.00000034585	37903789369060.4
0.00000034619	38182726354224.4
0.00000034653	38460830691671.5
0.00000034688	38397133141328.1
0.00000034722	38330937647833.9
0.00000034756	37889218034014.5
0.00000034791	37667733741317.2
0.00000034826	37600705600106.1
0.0000003486	37686884638806
0.00000034895	37908368931503.4
0.0000003493	38522862946581.1
0.00000034966	39314294601501.6
0.00000035001	40244362101287.2
0.00000035036	41158609294451.6
0.00000035072	41489586761922.3
0.00000035108	41235629208265.5
0.00000035143	40953361632233.9
0.00000035179	40712310118189.2
0.00000035215	40452524030514.1
0.00000035252	40280582276972.7
0.00000035288	40842619485885.2
0.00000035324	42032056749487.5
0.00000035361	43147804690143.5
0.00000035398	44034574508649.9
0.00000035434	44767304499528.4
0.00000035471	45137832733552.3
0.00000035508	44629917626238.7
0.00000035546	43410088720969.3
0.00000035583	42069525896748.3
0.0000003562	40606980182000.4
0.00000035658	38580315639047.7
0.00000035696	36371717569950.7
0.00000035734	34902510673467.6
0.00000035772	34129813592177.5
0.0000003581	33949545361467
0.00000035848	34414162787501.4
0.00000035886	35751395020854.7
0.00000035925	37444584153186
0.00000035964	38951676520788.4
0.00000036003	39829287214408.9
0.00000036042	39999563672516.5
0.00000036081	40064510194435.2
0.0000003612	40002477939525.6
0.00000036159	39751434652878
0.00000036199	39810136316920
0.00000036239	40454605649806.4
0.00000036279	41265604526074.2
0.00000036319	41698997662724.5
0.00000036359	42215239247207.1
0.00000036399	43110335542882.6
0.00000036439	44196940813446.9
0.0000003648	45092037109122.3
0.00000036521	46316029252976.3
0.00000036562	48064589458481.9
0.00000036603	49163684444799.7
0.00000036644	49688252506451.4
0.00000036685	49792333471064.8
0.00000036727	49879761481340.1
0.00000036769	49580008303253.4
0.0000003681	49367683135442
0.00000036852	49255275693659.5
0.00000036895	49205316830645.1
0.00000036937	49642456882021.5
0.00000036979	50050454263306.1
0.00000037022	49729884892296.8
0.00000037065	49217806546398.7
0.00000037108	48759850302099.6
0.00000037151	47810631904825.1
0.00000037194	46278560105715.5
0.00000037238	44671550012084.1
0.00000037281	43118662020051.7
0.00000037325	41811405104507
0.00000037369	40732709987253.5
0.00000037413	40316802452658.2
0.00000037458	40567845739305.8
0.00000037502	41198576384863.2
0.00000037547	42714827877351.6
0.00000037592	44675713250668.6
0.00000037637	46753169304352.7
0.00000037682	48555851611457.3
0.00000037728	50341880964223.8
0.00000037773	51336894985928.1
0.00000037819	51703259981367.4
0.00000037865	51595015778169.4
0.00000037911	50995509421996.1
0.00000037957	50029638070383.5
0.00000038004	48880584221051.2
0.00000038051	47481736056646.7
0.00000038098	45549993353421.4
0.00000038145	43035397248361
0.00000038192	40341781884165.4
0.00000038239	38159412218151
0.00000038287	36473716915271.9
0.00000038335	35628995806469.3
0.00000038383	35666464953730.1
0.00000038431	36933754778863.3
0.0000003848	38574070781170.9
0.00000038528	39880078725140.2
0.00000038577	40772677077665
0.00000038626	41402991399363.9
0.00000038676	41769772718661.7
0.00000038725	42044546465241.1
0.00000038775	42560788049723.7
0.00000038825	43430904913892
0.00000038875	44900528134233.6
0.00000038925	46778148735859.9
0.00000038976	48626626667394.4
0.00000039026	49850618811248.4
0.00000039077	49729884892296.8
0.00000039129	48410138260998.5
0.0000003918	46261907151377.3
0.00000039232	43510006446998.2
0.00000039284	41139458396962.7
0.00000039336	39843442225596.3
0.00000039388	39756430539179.5
0.0000003944	40277668009963.5
0.00000039493	41107817783720.3
0.00000039546	42265198110221.6
0.00000039599	43405925482384.8
0.00000039653	44621591149069.6
0.00000039707	46474232319188.7
0.00000039761	49779843755311.2
0.00000039815	53855654329573.1
0.00000039869	58202075411830
0.00000039924	62519353823995
0.00000039979	66453614286382.7
0.00000040034	69297106239621.6
0.00000040089	70816688322977.7
0.00000040145	71865824446281
0.00000040201	72219699725966.7
0.00000040257	72282148304734.8
0.00000040313	71982395126648.1
0.0000004037	71428684394904.6
0.00000040427	70829178038731.3
0.00000040484	70088121570683.7
0.00000040541	69521921123186.6
0.00000040599	69284616523868
0.00000040657	69488615214510.3
0.00000040715	69613512372046.4
0.00000040774	69775878676843.4
0.00000040833	70192202535297.1
0.00000040892	70729260312702.4
0.00000040951	71103951785310.7
0.00000041011	71287134283030.4
0.0000004107	71736764050160.4
0.00000041131	72656839777343.1
0.00000041191	73202224031917.5
0.00000041252	73535283118680.5
0.00000041313	73918301068457.9
0.00000041374	74359604358418.8
0.00000041436	74376257312757
0.00000041498	74109810043346.6
0.0000004156	73868342205443.4
0.00000041622	73685159707723.8
0.00000041685	73339610905207.2
0.00000041748	72785900173463.8
0.00000041811	72573575005652.4
0.00000041875	72552758812729.7
0.00000041939	72469494041038.9
0.00000042004	72357086599256.4
0.00000042068	72427861655193.6
0.00000042133	72602717675744.1
0.00000042198	72319617451995.6
0.00000042264	71894967116372.8
0.0000004233	71616030131208.8
0.00000042396	71378725531890.2
0.00000042463	70912442810422
0.0000004253	70421180657446.6
0.00000042597	69925755265886.7
0.00000042665	69093107548979.3
0.00000042732	67502750409686.1
0.00000042801	65670925432489.7
0.00000042869	64405300902790.4
0.00000042938	63222941144781.8
0.00000043008	62710862798883.8
0.00000043077	62823270240666.3
0.00000043147	64292893461007.9
0.00000043218	66149697869711.5
0.00000043289	68093930288690.3
0.0000004336	70033999469084.7
0.00000043431	71761743481667.6
0.00000043503	72969082671183.4
0.00000043575	73572752265941.3
0.00000043648	73972423170056.9
0.00000043721	73943280499965.1
0.00000043794	73893321636950.7
0.00000043868	74172258622114.6
0.00000043942	74730132592442.6
0.00000044017	75537800877842.8
0.00000044092	76616079671238
0.00000044167	77944152779705.3
0.00000044243	78984962425839.6
0.00000044319	79755161563979
0.00000044396	80308872295722.5
0.00000044473	80795971210113.3
0.0000004455	81074908195277.3
0.00000044628	81512048246653.7
0.00000044706	82494572552604.5
0.00000044785	83577014584584.2
0.00000044864	84459621164506.1
0.00000044943	85079943713602.1
0.00000045023	85683613308360
0.00000045104	85825163420234.3
0.00000045185	85487941094886.7
0.00000045266	85071617236433
0.00000045348	84855128830037.1
0.0000004543	84867618545790.7
0.00000045513	84896761215882.4
0.00000045596	85067453997848.5
0.0000004568	85429655754703.2
0.00000045764	85754388364297.1
0.00000045848	85983366486446.7
0.00000045933	86191528415673.5
0.00000046019	86395527106315.8
0.00000046105	86503771309513.8
0.00000046192	86574546365451
0.00000046279	86387200629146.8
0.00000046366	86062468019552.9
0.00000046454	85633654445345.5
0.00000046543	85209004109722.7
0.00000046632	84680272809486.5
0.00000046722	84293091621124.6
0.00000046812	84222316565187.4
0.00000046903	84234806280941
0.00000046994	84372193154230.8
0.00000047086	84659456616563.8
0.00000047178	85084106952186.6
0.00000047271	85462961663379.5
0.00000047364	85837653135987.9
0.00000047458	86216507847180.7
0.00000047553	86574546365451
0.00000047648	86832667157692.3
0.00000047744	87119930620025.3
0.0000004784	87361398457928.5
0.00000047937	87428010275281.1
0.00000048034	87273970447653.2
0.00000048133	86499608070929.3
0.00000048231	85367207175935.2
0.00000048331	83972522250115.2
0.0000004843	82548694654203.5
0.00000048531	81274743647335.1
0.00000048632	80396300305997.8
0.00000048734	80125689798002.8
0.00000048837	80404626783166.8
0.0000004894	80929194844818.5
0.00000049043	81574496825421.8
0.00000049148	82182329658764.2
0.00000049253	82698571243246.8
0.00000049359	82944202319734.5
0.00000049465	83039956807178.9
0.00000049572	82885916979551
0.0000004968	82519551984111.7
0.00000049789	82128207557165.2
0.00000049898	81599476256929
0.00000050008	81183152398475.3
0.00000050119	80883399220388.6
0.0000005023	80833440357374.2
0.00000050342	80974990469248.4
0.00000050455	81195642114228.9
0.00000050569	81474579099392.9
0.00000050683	81624455688436.2
0.00000050799	81574496825421.8
0.00000050914	81353845180441.3
0.00000051031	80974990469248.4
0.00000051149	80134016275171.9
0.00000051267	79051574243192.2
0.00000051386	77981621926966.2
0.00000051506	77036566768276.2
0.00000051627	76224735244291.5
0.00000051749	75741799568485.2
0.00000051871	75954124736296.6
0.00000051994	76491182513701.9
0.00000052118	76969954950923.6
0.00000052243	77511175966913.5
0.00000052369	78135661754594.1
0.00000052496	78672719531999.4
0.00000052624	78851738791134.5
0.00000052752	79047411004607.7
0.00000052882	79488714294568.6
0.00000053012	79821773381331.6
0.00000053144	79963323493205.9
0.00000053276	80000792640466.7
0.00000053409	79959160254621.3
0.00000053543	79759324802563.6
0.00000053679	79405449522877.9
0.00000053815	79064063958945.8
0.00000053952	78822596121042.7
0.0000005409	78643576861907.6
0.00000054229	78585291521724.1
0.00000054369	78593617998893.1
0.00000054511	78643576861907.6
0.00000054653	78656066577661.2
0.00000054796	78706025440675.7
0.00000054941	78685209247753
0.00000055086	78527006181540.5
0.00000055233	78256395673545.6
0.0000005538	77989948404135.3
0.00000055529	77690195226048.6
0.00000055679	77357136139285.6
0.0000005583	77024077052522.6
0.00000055982	76840894554803
0.00000056136	76745140067358.6
0.0000005629	76641059102745.2
0.00000056446	76611916432653.4
0.00000056603	76666038534252.4
0.00000056761	76724323874435.9
0.00000056921	76749303305943.2
0.00000057081	76770119498865.9
0.00000057243	76811751884711.2
0.00000057406	76845057793387.5
0.00000057571	76811751884711.2
0.00000057737	76711834158682.3
0.00000057904	76591100239730.8
0.00000058072	76312163254566.8
0.00000058242	75933308543373.9
0.00000058413	75541964116427.4
0.00000058586	75138129973727.3
0.00000058759	74750948785365.3
0.00000058935	74438705891525
0.00000059111	74259686632389.9
0.0000005929	74113973281931.1
0.00000059469	73984912885810.5
0.0000005965	73851689251105.3
0.00000059833	73697649423477.4
0.00000060017	73452018346989.7
0.00000060203	73139775453149.4
0.0000006039	72794226650632.8
0.00000060578	72386229269348.2
0.00000060769	71874150923450.1
0.0000006096	71387052009059.3
0.00000061154	70924932526175.6
0.00000061349	70475302759045.6
0.00000061546	70046489184838.3
0.00000061744	69759225722505.2
0.00000061944	69563553509032
0.00000062146	69326248909713.4
0.00000062349	69072291356056.6
0.00000062554	68847476472491.6
0.00000062761	68643477781849.3
0.0000006297	68352051080931.7
0.00000063181	68031481709922.3
0.00000063393	67748381486173.8
0.00000063607	67465281262425.2
0.00000063823	67119732459908.6
0.00000064041	66770020418807.5
0.00000064261	66428634854875.5
0.00000064482	65899903554639.2
0.00000064706	65329539868557.7
0.00000064931	64800808568321.4
0.00000065159	64301219938177
0.00000065388	63839100455293.3
0.0000006562	63501878129945.8
0.00000065853	63406123642501.5
0.00000066089	63401960403916.9
0.00000066327	63364491256656.1
0.00000066566	63297879439303.5
0.00000066808	63210451429028.2
0.00000067052	63010615976970.4
0.00000067299	62665067174453.8
0.00000067547	62315355133352.7
0.00000067798	61957316615082.5
0.0000006805	61586788381058.7
0.00000068306	61203770431281.3
0.00000068563	60812426004334.8
0.00000068823	60404428623050.1
0.00000069085	59983941526011.9
0.00000069349	59563454428973.6
0.00000069616	59147130570519.9
0.00000069885	58743296427819.8
0.00000070156	58343625523704.2
0.0000007043	57943954619588.7
0.00000070707	57531793999719.5
0.00000070985	57111306902681.2
0.00000071267	56686656567058.4
0.00000071551	56245353277097.5
0.00000071837	55824866180059.2
0.00000072126	55429358514528.2
0.00000072418	55042177326166.2
0.00000072712	54646669660635.2
0.00000073009	54267814949442.3
0.00000073308	53905613192587.6
0.0000007361	53535084958563.8
0.00000073915	53168719963124.5
0.00000074222	52835660876361.5
0.00000074533	52531744459690.3
0.00000074846	52211175088681
0.00000075161	51878116001918
0.0000007548	51545056915155
0.00000075801	51187018396884.8
0.00000076126	50808163685691.9
0.00000076453	50429308974499
0.00000076783	50062943979059.8
0.00000077115	49725721653712.2
0.00000077451	49380172851195.7
0.0000007779	49017971094340.9
0.00000078131	48664095814655.3
0.00000078476	48293567580631.4
0.00000078823	47889733437931.4
0.00000079173	47469246340893.1
0.00000079527	47069575436777.5
0.00000079883	46686557487000.1
0.00000080242	46274396867130.9
0.00000080605	45883052440184.4
0.0000008097	45508360967576.1
0.00000081339	45125343017798.6
0.0000008171	44717345636514
0.00000082085	44338490925321.1
0.00000082462	43984615645635.5
0.00000082843	43601597695858
0.00000083226	43151967928728
0.00000083613	42669032252921.7
0.00000084003	42211076008622.6
0.00000084396	41694834424140
0.00000084792	41148201197990.3
0.00000085191	40674840970928.4
0.00000085593	40294320964301.7
0.00000085999	39979163803452.2
0.00000086407	39672333119771.8
0.00000086818	39443354997622.3
0.00000087233	39279739721250
0.0000008765	39077406326041.5
0.00000088071	38828028334827.7
0.00000088494	38581564610623.1
0.00000088921	38315533665071.2
0.0000008935	38002874447372.4
0.00000089783	37665652122024.9
0.00000090219	37304699336745.5
0.00000090657	36957901562653.6
0.00000091099	36620262913447.6
0.00000091543	36279709997232.5
0.00000091991	35922504126679.2
0.00000092441	35584032829756.3
0.00000092894	35255969629294.8
0.0000009335	34900012730316.8
0.00000093809	34549884365357.3
0.0000009427	34218490574028.1
0.00000094735	33932059759411.9
0.00000095274	33291753665110.1
0.00000095741	33068187753120.5
0.00000096211	32882923636108.6
0.00000096683	32701822757681.2
0.00000097158	32496158771605.1
0.00000097635	32255939905277.3
0.00000098115	31973256005387.2
0.00000098598	31680996656752.7
0.00000099082	31372917001496.9
0.0000009957	31051931306629.1
0.00000100059	30745100622948.7
0.00000100551	30458669808332.6
0.00000101045	30192638862780.6
0.00000101542	29914118201475.1
0.00000102041	29638928131037.2
0.00000102541	29373313509343.7
0.00000103044	29097290791188.9
0.00000103549	28803366147120.6
0.00000104057	28501115025883.2
0.00000104566	28197614933070.4
0.00000105077	27881208800645.6
0.0000010559	27535243674270.5
0.00000106104	27184698985452.5
0.00000106621	26825827819465.4
0.00000107139	26474450482930.5
0.00000107659	26148052577902.8
0.00000108181	25850797342966.8
0.00000108704	25591011255291.7
0.00000109229	25357869894557.6
0.00000109755	25139299868869.4
0.00000110283	24934884854368.6
0.00000110813	24718812771831.1
0.00000111343	24491083621256.9
0.00000111875	24257525936664.4
0.00000112409	24019805013487.3
0.00000112943	23773757613141.2
0.00000113479	23525212269644.3
0.00000114016	23284577079458.1
0.00000114553	23045607184705.6
0.00000115092	22793731250341.1
0.00000115632	22538524725109
0.00000116173	22288730410036.8
0.00000116715	22038103447247.6
0.00000117257	21782896922015.5
0.00000117801	21536433197810.9
0.00000118345	21306622427944.4
0.0000011889	21093880936274.6
0.00000119435	20889882245632.3
0.00000119982	20699205918460.5
0.00000120528	20532260051220.5
0.00000121076	20364897860122.1
0.00000121623	20199200964457.6
0.00000122172	20029340830208.4
0.0000012272	19854068485799.4
0.00000123269	19667971721070.6
0.00000123819	19478960689332.6
0.00000124368	19284537447434.7
0.00000124918	19079706109075.5
0.00000125468	18863217702679.6
0.00000126019	18658386364320.3
0.00000126569	18458134588404.1
0.0000012712	18266625613515.4
0.0000012767	18090104297531
0.00000128221	17928570640451
0.00000128772	17790351119444.3
0.00000129322	17647968359853.2
0.00000129873	17504336628686.6
0.00000130424	17359872249803.2
0.00000130974	17214575223202.8
0.00000131524	17065531281876.4
0.00000132074	16918985283700.7
0.00000132624	16772022961666.5
0.00000133174	16626725935066.2
0.00000133723	16480179936890.5
0.00000134272	16328221728554.9
0.00000134821	16175014548643.9
0.00000135369	16020974721016
0.00000135917	15868600188822
0.00000136464	15722886838363.2
0.00000137012	15579255107196.6
0.00000137558	15442284557765.4
0.00000138104	15302816065183.4
0.0000013865	15162514924884.5
0.00000139195	15019299517576.4
0.0000013974	14870255576249.9
0.00000140284	14722044282640.4
0.00000140828	14575081960606.3
0.00000141371	14427703314713.6
0.00000141913	14285320555122.5
0.00000142455	14148350005691.2
0.00000142996	14019705933429
0.00000143536	13896057747468.2
0.00000144076	13778238095525.8
0.00000144615	13670826540044.8
0.00000145154	13562166012988.4
0.00000145691	13448509599630.5
0.00000146228	13336102157848
0.00000146764	13217449858188.7
0.000001473	13085475195058.9
0.00000147834	12955165827362.8
0.00000148368	12835264556128.2
0.00000148901	12724938733637.9
0.00000149433	12626269979184.4
0.00000149965	12537176673475.3
0.00000150495	12468066912972
0.00000151025	12406867305779.3
0.00000151554	12335259602125.3
0.00000152082	12258656012169.8
0.00000152609	12173309621186.8
0.00000153136	12070893952007.1
0.00000153661	11957237538649.3
0.00000154186	11829426114104
0.00000154709	11685794382937.4
0.00000155232	11534668822318.8
0.00000155754	11379380023115.5
0.00000156275	11224091223912.3
0.00000156795	11084206407471.8
0.00000157314	10963888812378.7
0.00000157832	10864387410208.3
0.00000158349	10776959399933
0.00000158865	10696192571393
0.0000015938	10630829725615.7
0.00000159895	10568381146847.7
0.00000160118	10559638345820.1
0.00000161686	10326080661227.6
0.00000163242	10067127221269.4
0.00000164791	9804843190443.55
0.00000166331	9556297846946.67
0.00000167861	9304421912582.17
0.00000169382	9049215387350.05
0.00000170893	8748213237688.01
0.00000172395	8419733713368.02
0.00000173886	8185343381058.58
0.00000175369	7987173224434.61
0.00000176843	7754864511417.43
0.00000178307	7505902844062.11
0.00000179762	7239455574651.73
0.00000181208	7067513821110.34
0.00000182644	6900151630011.95
0.00000184072	6730291495762.83
0.0000018549	6497982782745.65
0.000001869	6285241291075.8
